IPO_Name,Date,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,Positive_Listing,Strong_Listing,Current_Gain_Pct,Cluster,Cluster_Name
JSW Energy Limited,2010-01-04,2700.0,2.88,0.15,0.4,1.68,100,2.0,1,0,436.3,1,"Institutional
Heavyweights"
Godrej Properties Limited,2010-01-05,468.85,7.45,0.41,0.38,4.0,490,4.08,1,0,299.35,1,"Institutional
Heavyweights"
D B Corp Limited,2010-01-06,384.22,68.52,26.17,3.42,39.54,212,17.92,1,1,29.6,1,"Institutional
Heavyweights"
MBL Infrastructure Limited,2010-01-11,102.6,3.35,2.65,0.4,1.97,180,5.56,1,0,-77.36,1,"Institutional
Heavyweights"
Birla Shloka Edutech Limited,2010-01-29,34.78,0.0,5.45,1.76,1.43,50,-2.0,0,0,-97.08,0,"Retail-Driven
Weak Demand"
Infinite Computer Solutions Limited,2010-02-03,189.8,48.44,106.02,11.08,43.22,165,8.09,1,0,187.12,2,"Blockbuster
Demand Stars"
Jubilant Foodworks Limited,2010-02-08,328.72,59.39,51.95,3.79,31.11,145,11.45,1,0,337.97,2,"Blockbuster
Demand Stars"
Vascon Engineers Limited,2010-02-15,178.2,1.12,3.65,0.62,1.22,165,3.03,1,0,-70.21,0,"Retail-Driven
Weak Demand"
Syncom Healthcare Limited,2010-02-15,56.25,0.99,16.6,6.25,5.17,75,17.33,1,1,-94.51,0,"Retail-Driven
Weak Demand"
Thangamayil Jewellery Limited,2010-02-19,28.75,0.52,1.52,2.26,1.12,75,-6.67,0,0,2523.67,0,"Retail-Driven
Weak Demand"
NTPC Limited,2010-02-19,8478.75,2.18,0.43,0.16,1.2,201,1.49,1,0,68.53,1,"Institutional
Heavyweights"
Aqua Logistics Limited,2010-02-23,150.0,0.26,5.07,3.0,1.94,220,-0.27,0,0,-99.38,0,"Retail-Driven
Weak Demand"
Valor Estates Limited,2010-02-24,1500.0,4.47,4.25,0.37,2.95,468,-8.12,0,0,-61.56,1,"Institutional
Heavyweights"
Emmbi Industries Limited,2010-02-24,38.96,0.43,5.55,0.46,1.2,45,1.11,1,0,133.44,0,"Retail-Driven
Weak Demand"
Hathway Cable & Datacom Limited,2010-02-25,666.0,1.43,4.29,0.28,1.36,240,2.5,1,0,-94.02,1,"Institutional
Heavyweights"
ARSS Infrastructure Projects Limited,2010-03-03,103.0,49.34,124.53,18.55,47.62,450,42.22,1,1,-87.87,2,"Blockbuster
Demand Stars"
REC Limited,2010-03-08,3529.94,39.3,27.12,7.68,27.91,203,13.3,1,0,90.94,1,"Institutional
Heavyweights"
Texmo Pipes and Products Limited,2010-03-10,45.0,1.02,30.5,7.26,7.48,90,12.78,1,0,-36.77,0,"Retail-Driven
Weak Demand"
Man Infraconstruction Limited,2010-03-11,141.75,96.06,104.57,10.26,62.53,252,32.94,1,1,-34.56,2,"Blockbuster
Demand Stars"
United Bank of India,2010-03-18,324.98,47.08,39.15,9.8,33.38,66,16.67,1,1,-93.21,2,"Blockbuster
Demand Stars"
DQ Entertainment (International) Limited,2010-03-29,128.16,93.86,272.88,19.45,86.33,80,68.75,1,1,-98.71,2,"Blockbuster
Demand Stars"
NMDC Limited,2010-03-29,9967.3,2.28,0.22,0.22,1.25,300,-1.43,0,0,-76.29,1,"Institutional
Heavyweights"
IL&FS Transportation Networks Limited,2010-03-30,700.0,52.61,39.39,4.56,33.42,258,11.24,1,0,-98.85,1,"Institutional
Heavyweights"
Pradip Overseas Limited,2010-04-05,116.6,8.57,45.35,10.53,14.08,110,9.09,1,0,-98.96,0,"Retail-Driven
Weak Demand"
Persistent Systems Limited,2010-04-06,168.01,144.43,107.73,21.69,93.6,310,29.03,1,1,1582.37,2,"Blockbuster
Demand Stars"
Shree Ganesh Jewellery House (I) Limited,2010-04-09,371.02,1.38,6.13,1.39,1.96,260,-0.44,0,0,-99.68,0,"Retail-Driven
Weak Demand"
Intrasoft Technologies Limited,2010-04-12,53.65,21.97,21.6,13.51,18.95,145,-3.45,0,0,-33.62,0,"Retail-Driven
Weak Demand"
Goenka Diamond & Jewellery Limited,2010-04-16,126.51,0.78,3.0,0.66,1.07,135,-3.7,0,0,-99.39,0,"Retail-Driven
Weak Demand"
Talwalkars Better Value Fitness Limited,2010-05-10,77.44,35.43,51.48,8.43,28.39,128,7.81,1,0,-98.87,2,"Blockbuster
Demand Stars"
Satchmo Holdings Limited,2010-05-13,405.0,2.54,0.22,0.16,1.16,54,-7.41,0,0,-92.96,1,"Institutional
Heavyweights"
Tarapur Transformers Limited,2010-05-18,63.75,0.03,5.08,2.74,1.74,75,0.0,0,0,-67.01,0,"Retail-Driven
Weak Demand"
GB Global Limited,2010-05-19,107.9,7.97,10.52,2.81,6.32,130,2.08,1,0,-92.46,0,"Retail-Driven
Weak Demand"
SJVN Limited,2010-05-20,1062.51,9.03,3.39,3.12,6.64,26,7.69,1,0,276.35,1,"Institutional
Heavyweights"
Jaypee Infratech Limited,2010-05-21,2257.6,1.77,1.15,0.61,1.24,102,-8.82,0,0,-98.75,1,"Institutional
Heavyweights"
Standard Chartered (India) Limited,2010-06-11,2486.35,4.15,1.9,0.25,2.2,104,0.96,1,0,-65.19,1,"Institutional
Heavyweights"
Parabolic Drugs Limited,2010-07-01,200.0,1.48,1.2,0.4,1.04,75,1.33,1,0,-92.4,1,"Institutional
Heavyweights"
Technofab Engineers Limited,2010-07-16,71.66,4.28,48.85,10.03,12.78,240,10.42,1,0,-97.15,0,"Retail-Driven
Weak Demand"
Hindustan Media Ventures Limited,2010-07-21,270.0,8.98,3.39,1.0,5.43,166,2.41,1,0,-48.18,1,"Institutional
Heavyweights"
Shri Aster Silicates Limited,2010-07-28,53.1,0.01,12.46,7.41,4.47,118,8.22,1,0,-98.92,0,"Retail-Driven
Weak Demand"
Midfield Industries Limited,2010-08-04,59.85,1.86,48.41,13.51,12.92,133,19.85,1,1,-90.94,0,"Retail-Driven
Weak Demand"
Engineers India Limited,2010-08-12,959.35,23.43,5.85,2.99,13.36,290,8.62,1,0,-30.72,1,"Institutional
Heavyweights"
Bharat Financial Inclusion Limited,2010-08-16,1628.78,20.38,18.26,2.81,13.69,985,5.18,1,0,-8.81,1,"Institutional
Heavyweights"
Bajaj Consumer Care Limited,2010-08-18,297.0,20.19,53.49,6.62,19.29,660,10.61,1,0,-65.43,2,"Blockbuster
Demand Stars"
Prakash Steelage Limited,2010-08-25,68.75,1.27,10.91,6.62,4.53,110,7.77,1,0,-94.78,0,"Retail-Driven
Weak Demand"
Gujarat Pipavav Port Limited,2010-09-09,553.85,13.2,85.7,9.15,19.94,46,22.28,1,1,241.3,2,"Blockbuster
Demand Stars"
Indosolar Limited,2010-09-29,357.0,1.44,1.3,1.81,1.55,29,2.59,1,0,1203.1,0,"Retail-Driven
Weak Demand"
Tirupati Inks Limited,2010-10-01,51.5,1.78,23.18,12.59,8.77,43,25.47,1,1,-96.3,0,"Retail-Driven
Weak Demand"
