IPO_Name,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,IPO_Quality_Score,Score_Category,Positive_Listing,Strong_Listing
Paras Defence and Space Technologies Limited,170.78,169.65,927.7,112.81,304.26,175,171.43,0.6026132540354451,Strong,1,1
Latent View Analytics,600.0,145.48,850.66,119.44,326.49,197,169.04,0.583208249337595,Strong,1,1
Apollo Micro Systems Ltd,156.0,101.93,958.07,40.19,248.51,275,73.82,0.5798649302419884,Strong,1,1
Vibhor Steel Tubes Limited,72.17,178.73,721.34,188.17,298.86,151,178.81,0.5772728896704499,Strong,1,1
Tega Industries Limited,619.23,215.45,666.19,29.44,219.04,453,66.23,0.5096792930463089,Strong,1,1
Mazagon Dock Shipbuilders Ltd,443.69,89.71,678.88,35.63,157.41,145,49.14,0.4947857259026691,Strong,1,1
MTAR Technologies Limited,596.41,164.99,650.79,28.4,200.79,575,85.03,0.4945805310153564,Strong,1,1
Indo Farm Equipment Limited,260.15,242.4,503.83,104.92,229.68,215,20.19,0.491946284183238,Strong,1,1
Denta Water & Infrastructure Limited,220.5,236.94,507.27,90.56,221.68,294,12.24,0.49118524798099583,Strong,1,0
Mrs Bectors Food Specialities Ltd,540.54,176.85,620.86,29.33,198.02,288,73.96,0.4903193193447679,Strong,1,1
Capacit'e Infraprojects Ltd,400.0,131.32,638.05,17.57,183.03,250,59.6,0.48979664171861664,Strong,1,1
Manba Finance Limited,150.84,148.55,511.62,143.95,224.05,120,25.0,0.4825604673069693,Strong,1,1
Astron Paper & Board Mill Ltd,69.83,103.36,396.99,77.93,243.29,50,128.0,0.4765579439529194,Strong,1,1
Central Depository Services Ltd,523.99,148.71,563.03,23.83,170.16,149,67.79,0.4687148629260079,Strong,1,1
KRN Heat Exchanger and Refrigeration Limited,341.95,253.04,431.63,98.29,214.42,220,113.64,0.4673258401432746,Strong,1,1
Gala Precision Engineering Limited,167.93,232.54,414.62,91.95,201.41,529,41.78,0.4647389002196881,Strong,1,1
Tatva Chintan Pharma Chem Limited,500.0,185.23,512.22,35.35,180.36,1083,95.0,0.4624445582071459,Strong,1,1
Amber Enterprises India Ltd,599.57,174.99,519.26,11.65,165.42,859,37.37,0.46054110403491616,Strong,1,1
Stallion India Fluorochem Limited,199.45,172.93,422.42,96.89,188.37,90,33.33,0.448442710934225,Strong,1,1
Chemcon Speciality Chemicals Ltd,318.0,113.54,449.14,41.21,149.33,340,114.99,0.4336400357415588,Strong,1,1
C.E. Info Systems Limited (MapmyIndia),1039.61,196.36,424.69,15.2,154.71,1033,53.05,0.42933210104270814,Strong,1,1
Ujjivan Small Finance Bank Ltd,745.95,110.72,473.0,49.09,165.69,37,56.76,0.4282623903621873,Strong,1,1
Standard Glass Lining Technology Limited,410.05,331.6,268.5,64.99,183.18,140,25.71,0.42775331280375334,Strong,1,1
Mamata Machinery Limited,179.35,235.88,274.38,138.08,194.95,243,146.91,0.4250616439527115,Strong,1,1
Unimech Aerospace and Manufacturing Limited,500.0,317.63,263.78,56.74,175.31,785,89.94,0.4187162373551713,Strong,1,1
MAS Financial Services Ltd,460.04,148.33,378.53,15.97,128.39,459,43.79,0.418289359444854,Strong,1,1
Advanced Enzyme Technologies Ltd,411.49,94.03,393.1,11.67,116.02,896,35.04,0.4160230818656195,Strong,1,1
Orient Technologies Limited,214.76,189.9,300.6,66.87,151.71,206,40.78,0.407783468587549,Strong,1,1
Nazara Technologies Limited,582.69,103.77,389.89,75.29,175.46,1101,79.02,0.407633437004644,Strong,1,1
Saraswati Saree Depot Limited,160.01,64.12,358.65,61.88,107.52,160,25.0,0.4061622689878339,Strong,1,1
Plaza Wires Limited,71.28,42.84,388.09,374.81,160.97,54,55.56,0.4035696410721518,Strong,1,1
Rolex Rings Limited,731.1,143.58,360.11,24.49,130.44,900,38.78,0.40235392824902805,Strong,1,1
Dixon Technologies (India) Ltd,599.28,134.66,345.61,10.6,117.83,1766,54.3,0.4023339577451715,Strong,1,1
Indian Railway Catering and Tourism Corporation Ltd,637.97,108.79,354.52,14.94,111.95,320,101.25,0.4001068223118867,Strong,1,1
Quess Corp Ltd,400.0,59.03,392.21,34.08,144.5,317,57.41,0.3988478548197362,Strong,1,1
Shyam Metalics and Energy Limited,908.55,155.71,339.98,11.58,121.4,306,19.93,0.3987130113431892,Strong,1,1
DQ Entertainment (International) Limited,128.16,93.86,272.88,19.45,86.33,80,68.75,0.39831566055121836,Strong,1,1
Easy Trip Planners Limited,510.0,77.53,382.21,70.4,159.33,187,10.16,0.39701228032082975,Strong,1,0
Housing & Urban Development Corporation Ltd,1209.78,55.45,330.36,10.79,79.53,60,22.42,0.39459629444100286,Strong,1,1
GNG Electronics Limited,460.44,266.21,227.67,46.84,147.93,237,47.68,0.391819304585228,Strong,1,1
Mukka Proteins Ltd ,224.0,189.28,250.38,58.52,136.99,28,57.14,0.38863063098571665,Strong,1,1
Sharda Cropchem Ltd,351.86,32.06,251.35,5.85,59.97,156,62.88,0.3874833145396089,Strong,1,1
