IPO_Name,Listing_Gain_Pct,Current_Gain_Pct,Predicted_Gain,Prob_Positive,Invest_Flag,Hold_Better_Than_Flip,Flip_Hold_Strategy,IPO_Quality_Score,Score_Category,Dominant_Investor
JSW Energy Limited,2.0,436.3,-0.5476660598079905,0.5051,0,1,Hold,0.13704885344322199,Weak,QIB_Dominant
Godrej Properties Limited,4.08,299.35,1.1334781714750488,0.5696,0,1,Hold,0.17139101113017702,Weak,QIB_Dominant
D B Corp Limited,17.92,29.6,21.546618591244364,0.8994,1,1,Hold,0.2350273137398325,Moderate,QIB_Dominant
MBL Infrastructure Limited,5.56,-77.36,-0.9074225746985438,0.5113,0,0,Flip,0.24447920301699266,Moderate,QIB_Dominant
Birla Shloka Edutech Limited,-2.0,-97.08,-0.3549129075816467,0.2966,0,0,Flip,0.3103214111342023,Strong,HNI_Dominant
Infinite Computer Solutions Limited,8.09,187.12,17.162356105059082,0.917,1,1,Hold,0.3130417747337549,Strong,HNI_Dominant
Jubilant Foodworks Limited,11.45,337.97,13.63898329033734,0.7437,1,1,Hold,0.2831637446880755,Strong,QIB_Dominant
Vascon Engineers Limited,3.03,-70.21,-0.2539299007995141,0.4421,0,0,Flip,0.28584574253517403,Strong,HNI_Dominant
Syncom Healthcare Limited,17.33,-94.51,16.19456778566496,0.8948,1,0,Flip,0.28540688181209767,Strong,HNI_Dominant
Thangamayil Jewellery Limited,-6.67,2523.67,2.3069193954807408,0.5233,0,1,Hold,0.2030441808687033,Moderate,RII_Dominant
NTPC Limited,1.49,68.53,-3.283293812416778,0.158,0,1,Hold,0.1379020194554492,Weak,QIB_Dominant
Aqua Logistics Limited,-0.27,-99.38,0.6835764873627431,0.2886,0,0,Flip,0.234289881136331,Moderate,HNI_Dominant
Valor Estates Limited,-8.12,-61.56,-2.833868035613548,0.2356,0,0,Flip,0.20639681640055446,Moderate,QIB_Dominant
Emmbi Industries Limited,1.11,133.44,-1.139941608090983,0.5645,0,1,Hold,0.3678229246461233,Strong,HNI_Dominant
Hathway Cable & Datacom Limited,2.5,-94.02,-0.34822325658342146,0.3836,0,0,Flip,0.28251550981421103,Strong,HNI_Dominant
ARSS Infrastructure Projects Limited,42.22,-87.87,20.95566076838226,0.976,1,0,Flip,0.3301439564736339,Strong,HNI_Dominant
REC Limited,13.3,90.94,14.748309703801292,0.8742,1,1,Hold,0.19318991162270055,Weak,QIB_Dominant
Texmo Pipes and Products Limited,12.78,-36.77,15.846556586589651,0.9251,1,0,Flip,0.33319268818323794,Strong,HNI_Dominant
Man Infraconstruction Limited,32.94,-34.56,31.501029035949482,0.9914,1,0,Flip,0.3153181296720613,Strong,HNI_Dominant
United Bank of India,16.67,-93.21,18.811215494584296,0.933,1,0,Flip,0.24253338536046337,Moderate,QIB_Dominant
DQ Entertainment (International) Limited,68.75,-98.71,55.334984732713785,0.9977,1,0,Flip,0.39831566055121836,Strong,HNI_Dominant
NMDC Limited,-1.43,-76.29,-3.5094734730070276,0.105,0,0,Flip,0.1266958985811696,Weak,QIB_Dominant
IL&FS Transportation Networks Limited,11.24,-98.85,13.53030116552464,0.9547,1,0,Flip,0.23910184261434364,Moderate,QIB_Dominant
Pradip Overseas Limited,9.09,-98.96,11.890293839442151,0.8839,1,0,Flip,0.3038265675817984,Strong,HNI_Dominant
Persistent Systems Limited,29.03,1582.37,36.691437059275614,1.0,1,1,Hold,0.3205546880693295,Strong,QIB_Dominant
Shree Ganesh Jewellery House (I) Limited,-0.44,-99.68,-1.5698224905208815,0.2016,0,0,Flip,0.27366151546314366,Moderate,HNI_Dominant
Intrasoft Technologies Limited,-3.45,-33.62,2.3936212387707934,0.388,0,0,Flip,0.23839798378873361,Moderate,QIB_Dominant
Goenka Diamond & Jewellery Limited,-3.7,-99.39,-0.16349044258913564,0.2707,0,0,Flip,0.2737736390309365,Moderate,HNI_Dominant
Talwalkars Better Value Fitness Limited,7.81,-98.87,10.744713815259614,0.7931,1,0,Flip,0.2827638610056339,Strong,HNI_Dominant
Satchmo Holdings Limited,-7.41,-92.96,-2.325827387468327,0.2453,0,0,Flip,0.18585433980676347,Weak,QIB_Dominant
Tarapur Transformers Limited,0.0,-67.01,0.5757281681331681,0.3762,0,0,Flip,0.256608639818279,Moderate,HNI_Dominant
GB Global Limited,2.08,-92.46,2.194464505278832,0.7905,0,0,Flip,0.24644190468681004,Moderate,HNI_Dominant
SJVN Limited,7.69,276.35,3.9474687797610652,0.7015,0,1,Hold,0.1616242906631949,Weak,QIB_Dominant
